"","ID","primary","secondary","additional_information","Group","Ref"
"1","AFIQCI","wildtype","wildtype 1",NA,"AF",NA
"2","AFIQBR","wildtype","wildtype 2",NA,"AF",NA
"3","AFIINC","itc1","itc1-1_dutp",NA,"AF",NA
"4","AFNAQI","itc1","itc1-1_dutp",NA,"AF",NA
"5","AFNCCR","swr1","swr1 mutant",NA,"AF",NA
"6","AFNCCA","swr1","swr1 mutant",NA,"AF",NA
"7","FABINB","tet-sth1","<not provided>",NA,"FA",NA
"8","FABINF","tet-sth1","<not provided>",NA,"FA",NA
"9","FAFAFF","tet-ino80","tet-ino80",NA,"FA",NA
"10","FAFAFQ","tet-ino80","tet-ino80",NA,"FA",NA
"11","FAFAQQ","tet-control strain","tet-control",NA,"FA",NA
"12","FAFASB","tet-control strain","tet-control",NA,"FA",NA
"13","FFNARI","strain5","phenol lysis",NA,"FF",NA
"14","FFNARS","strain5","phenol lysis",NA,"FF",NA
"15","FFNARN","strain6","phenol lysis",NA,"FF",NA
"16","FFNAAR","strain6","phenol lysis",NA,"FF",NA
"17","FFNAAA","strain6","phenol lysis",NA,"FF",NA
"18","FFNAAA","strain6","phenol lysis",NA,"FF",NA
"19","FFNAAC","strain7","phenol lysis",NA,"FF",NA
"20","FFNAAQ","strain7","phenol lysis",NA,"FF",NA
"21","QCAQFQ","wildtype","mat a",NA,"QC",NA
"22","QCAQFI","wildtype","mat a",NA,"QC",NA
"23","QCAQFS","anmx4","by4741 background",NA,"QC",NA
"24","QCAQFN","anmx4","by4741 background",NA,"QC",NA
"25","QCFFAB","rrp6","rrp6",NA,"QC",NA
"26","QCFQIA","rrp6","rrp6",NA,"QC",NA
"27","QNCSCQ","mata mal2-8c suc2","cen.pk113-7d",NA,"QN",NA
"28","QNCSCI","mata mal2-8c suc2","cen.pk113-7d",NA,"QN",NA
"29","QNCSCS","mata ura3-52 his3-1 leu2-3","hxk1::klleu2","IMX372","QN",NA
"30","QNCSCN","mata ura3-52 his3-1 leu2-3","hxk1::klleu2","IMX372","QN",NA
"31","IAAICF","hybrid  cerevisiae x  paradoxus","citrinin",NA,"IA",NA
"32","IAAICQ","hybrid  cerevisiae x  paradoxus","citrinin",NA,"IA",NA
"33","IAAICI","hybrid  cerevisiae x  paradoxus","untreated",NA,"IA",NA
"34","IAAICS","hybrid  cerevisiae x  paradoxus","untreated",NA,"IA",NA
"35","IFAAAR","ddy3630","strain w303",NA,"IF",NA
"36","IFAAAA","ddy4300","strain w303",NA,"IF",NA
"37","IFAAAA","ddy4301","strain w303",NA,"IF",NA
"38","IFFABC","e1a1","ethanol",NA,"IF",NA
"39","IFFABB","e1a2","ethanol",NA,"IF",NA
"40","IFFABF","e1b1","ethanol",NA,"IF",NA
"41","IFFABQ","e1b2","ethanol",NA,"IF",NA
"42","IFFABI","e2a1","ethanol",NA,"IF",NA
"43","IFFABS","e2a2","ethanol",NA,"IF",NA
"44","IFFABN","e2b1","ethanol",NA,"IF",NA
"45","IFFAFR","e2b2","ethanol",NA,"IF",NA
"46","IFFAFA","g1a1","glucose",NA,"IF",NA
"47","IFFAFA","g1a2","glucose",NA,"IF",NA
"48","IFFAFC","g1b1","glucose",NA,"IF",NA
"49","IFFAFB","g1b2","glucose",NA,"IF",NA
"50","IFFAFF","g2a1","glucose",NA,"IF",NA
"51","IFFAFQ","g2a2","glucose",NA,"IF",NA
"52","IFFAFI","g2b1","glucose",NA,"IF",NA
"53","IFFAFS","g2b2","glucose",NA,"IF",NA
"54","INICIR","yb210","biofuel generation",NA,"IN",NA
"55","INICIA","yb210","biofuel generation",NA,"IN",NA
"56","INICIA","yb210","biofuel generation",NA,"IN",NA
"57","INICIC","yb211","biofuel generation",NA,"IN",NA
"58","INICIB","yb211","biofuel generation",NA,"IN",NA
"59","INICIF","yb211","biofuel generation",NA,"IN",NA
"60","INICIQ","yb212","biofuel generation",NA,"IN",NA
"61","INICII","yb212","biofuel generation",NA,"IN",NA
"62","INICIS","yb212","biofuel generation",NA,"IN",NA
"63","INICIN","yb213","biofuel generation",NA,"IN",NA
"64","INICSR","yb213","biofuel generation",NA,"IN",NA
"65","INICSA","yb213","biofuel generation",NA,"IN",NA
"66","SAABRQ","wild type","none",NA,"SA",NA
"67","SAASAQ","wild type","galactose",NA,"SA",NA
"68","SAASCC","pbs2","galactose",NA,"SA",NA
"69","SAASCF","ste12","galactose",NA,"SA",NA
"70","SAANNN","wild type","tunicamycin",NA,"SA",NA
"71","SAARRR","pbs2","tunicamycin",NA,"SA",NA
"72","SAARRS","wild type","salt stress",NA,"SA",NA
"73","SAARAA","pbs2","salt stress",NA,"SA",NA
"74","SARIAI","fy3","chemostat",NA,"SA",NA
"75","SARICB","fy3","chemostat",NA,"SA",NA
"76","SAABBN","15 deg","temperature",NA,"SA",NA
"77","SAABFR","15 deg","temperature",NA,"SA",NA
"78","SAABFA","15 deg","temperature",NA,"SA",NA
"79","SAABFA","15 deg","temperature",NA,"SA",NA
"80","SAABFI","37 deg","temperature",NA,"SA",NA
"81","SAABFS","37 deg","temperature",NA,"SA",NA
"82","SAABFN","37 deg","temperature",NA,"SA",NA
"83","SAABQR","37 deg","temperature",NA,"SA",NA
"84","SAABQF","30 deg","temperature",NA,"SA",NA
"85","SAABQQ","30 deg","temperature",NA,"SA",NA
"86","SAABQI","30 deg","temperature",NA,"SA",NA
"87","SAABQS","30 deg","temperature",NA,"SA",NA
"88","SAABIC","37 deg","temperature","dedbox1","SA",NA
"89","SAABIB","37 deg","temperature","dedbox1","SA",NA
"90","SAABIF","37 deg","temperature","dedbox1","SA",NA
"91","SAABIQ","37 deg","temperature","dedbox1","SA",NA
"92","SICIBA","undocumented","undocumented",NA,"SI",NA
